latitude,longitude,outlier_flag,sob4es_total_plant_cover_z,sob4es_clay_content_z,sob4es_silt_content_z,sob4es_sand_content_z,sob4es_aggregate_stability_z,sob4es_bulk_density_z,sob4es_soil_moisture_z,sob4es_as_z,sob4es_cu_z,sob4es_k_z,sob4es_mo_z,sob4es_ni_z,sob4es_p_z,sob4es_pb_z,sob4es_zn_z,sob4es_soil_p_h_z,sob4es_plot_total_c_z,sob4es_plot_total_organic_c_z,sob4es_plot_total_n_z,sob4es_macrofauna_shannon_z,sob4es_earthworm_shannon_z,sob4es_oribatid_shannon_z,sob4es_mesostigmatid_shannon_z,sob4es_collembola_shannon_z,sob4es_oomycete_shannon_z,sob4es_cercozoan_shannon_z,sob4es_n_e_m_a_t_o_d_e_shannon_z,sob4es_b_a_c_t_e_r_i_a_s_h_a_n_n_o_n_z,sob4es_f_u_n_g_i_s_h_a_n_n_o_n_z,sob4es_e_u_k_a_r_y_o_t_e_s_s_h_a_n_n_o_n_z,sob4es_ew_species_richness_z,sob4es_ew_species_richness_calc_z,sob4es_nuid_earthworm_spp_richness_z,sob4es_orib_total_abundance_z,sob4es_orib_species_richness_z,sob4es_meso_total_abundance_z,sob4es_meso_species_richness_z,sob4es_coll_total_abundance_z,sob4es_coll_species_richness_z,sob4es_bac_asv_richness_z,sob4es_bac_total_reads_z,sob4es_fun_asv_richness_z,sob4es_fun_total_reads_z,sob4es_euk_asv_richness_z,sob4es_euk_total_reads_z,sob4es_oomy_asv_richness_z,sob4es_oomy_total_reads_z,sob4es_cerc_asv_richness_z,sob4es_cerc_total_reads_z,eu_clay_content_z,eu_sand_content_z,eu_silt_content_z,eu_water_holding_capacity_z,eu_c_n_ratio_z,eu_p_z,eu_p_h_z,eu_organic_carbon_lucas_z,eu_organic_carbon_octop_z,eu_zn_z,eu_soil_texture_class_enc,eu_env_zone_enc,eu_soil_type_wrb_enc,sob4es_clay_content_was_missing,sob4es_silt_content_was_missing,sob4es_sand_content_was_missing,sob4es_aggregate_stability_was_missing,sob4es_b_a_c_t_e_r_i_a_s_h_a_n_n_o_n_was_missing,sob4es_f_u_n_g_i_s_h_a_n_n_o_n_was_missing,sob4es_e_u_k_a_r_y_o_t_e_s_s_h_a_n_n_o_n_was_missing,sob4es_ew_species_richness_was_missing,sob4es_ew_species_richness_calc_was_missing,sob4es_nuid_earthworm_spp_richness_was_missing,sob4es_orib_total_abundance_was_missing,sob4es_orib_species_richness_was_missing,sob4es_coll_total_abundance_was_missing,sob4es_coll_species_richness_was_missing,sob4es_bac_asv_richness_was_missing,sob4es_bac_total_reads_was_missing,sob4es_fun_asv_richness_was_missing,sob4es_fun_total_reads_was_missing,sob4es_euk_asv_richness_was_missing,sob4es_euk_total_reads_was_missing,sob4es_oomy_asv_richness_was_missing,sob4es_oomy_total_reads_was_missing,sob4es_cerc_asv_richness_was_missing,sob4es_cerc_total_reads_was_missing,eu_clay_content_was_missing,eu_sand_content_was_missing,eu_silt_content_was_missing,eu_soil_texture_class_was_missing,eu_water_holding_capacity_was_missing,eu_c_n_ratio_was_missing,eu_p_was_missing,eu_p_h_was_missing,eu_organic_carbon_lucas_was_missing,eu_organic_carbon_octop_was_missing,eu_zn_was_missing,eu_env_zone_was_missing,eu_soil_type_wrb_was_missing
51.099,4.975,True,0.4669788422889004,-0.3371011713816584,-0.2547094762475268,0.22036161450893313,-0.24834118261105684,-1.7762925640791067,0.900944468531415,9.677292738247461,-0.34075342757275384,-0.2687388241983642,-0.6339084243373084,-0.6618408156839529,0.39629268621705854,1.2725785128037297,1.175609758677581,-1.167424392683632,1.3195991111534233,1.2445746094169134,1.5818571307168285,0.6243739994374903,-0.5563482822759022,0.683925458849464,0.32017974986533637,-1.0535879090813047,0.6637693563093854,-0.06340612376032632,0.45453307933017223,0.2284433715240083,0.008699777075614043,0.07382195812314842,-0.4935941062829906,-0.14295368013990536,-0.46537875555818903,-0.02783971317621456,0.18905177005494359,0.14780951067691173,0.32486878097496785,-0.4875467233672091,-1.1705526037298035,0.04695759652615762,-0.42759186560905743,0.29433031822030997,0.0020323176797931264,-0.1291743742286508,-0.19427821140859527,-0.9675774641422639,-0.46295121790592825,0.7330324805546768,0.7644723943813214,-1.2672948835280387,1.0115633264023123,-0.7252476878015132,-0.523203233942139,-0.2944609789337851,1.713306538652376,-0.46029913522717103,0.44932272716069394,-0.268884085283832,-0.4858566300253882,2,6,9,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.097,4.976,False,0.4669788422889004,-1.3000343240435726,-1.4226262919269688,1.5219062355236754,-0.22574513900373938,-0.514102937974872,0.22178133280786622,-0.35499790042604346,-0.42263247783380065,-0.7808652738396771,-0.060684596236555144,-0.6618408156839529,0.7236172601734009,-0.12539051746007304,-0.6460770820691907,-1.1839594359102978,0.321755170880773,0.23707822093509429,0.6864952855060871,0.05384916993263171,0.05302128146556929,-0.9819421003211934,-0.7149552231343153,-1.0535879090813047,-0.5704006144833491,0.38098120136235264,0.8834470684741242,0.11744758171546056,-0.9999789405466463,-0.1612145416811422,-0.7772612440795411,-0.14295368013990536,-0.15918965136196916,-0.31920141725081325,-0.3046797639723404,-0.5554179105937436,-0.7893398091962072,-0.4875467233672091,-1.1705526037298035,-0.1608332132669113,2.3154014537791285,0.29433031822030997,-0.44900122468443815,0.2869162929586454,0.23951215849878907,-0.12078651381804004,-0.16964348868450052,-0.12199016852820982,-1.0559640810575197,-1.0771748021000687,0.9224844940296224,-0.7101339731803414,-0.8728720063854908,-0.25280919068755675,1.4832545736641343,-0.3788033773737861,0.5364161407581814,-0.268884085283832,-0.2438927355751748,2,6,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.232,5.027,True,0.4669788422889004,-2.131647616428782,-2.364430362310358,2.6045469404674875,-0.2783660624728349,0.23215516213055104,-0.13947565427912798,-0.47974496988598886,-0.3882961019178778,-0.5760146939831519,-0.060684596236555144,-0.6618408156839529,0.9830818614802573,-0.5582054324589657,-1.0640592160810267,-0.4150799258703322,-0.5226481300361854,-0.6154932501744145,-0.5413631923270802,-1.2084718855625265,0.503617944539745,-0.9819421003211934,1.910978736884538,1.0610558489025141,0.7088746640786737,0.6009533636521545,0.967631289002544,0.6875297367121688,-0.30782133721681804,0.6255390499853309,-0.20992696848644016,0.2869140763371341,-0.15918965136196916,-0.31920141725081325,-0.3046797639723404,3.1365260510771966,3.1103902564029053,2.538245257262485,1.6139931444185314,0.6703300259053644,1.3862648278199656,-0.994685536959921,-1.3239013335552332,-0.2519061537587166,-0.7306766880440725,-1.4380168809890548,-0.4009752435333552,2.6533292498064056,1.732410235209863,-1.5232246938565157,1.530994444089693,-1.3450345369798626,-1.6134721334607025,0.9632431924761765,1.6800336799401445,-0.6668079729319404,-0.019749100547759465,-0.268884085283832,-0.9977986913450566,2,6,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.226,5.033,True,0.4669788422889004,-2.140671404295897,-2.353308805977954,2.6030264444149003,-0.2607225763684911,-0.1824326712613506,0.11484926463011579,-0.5388356869985945,-0.4675338924930843,-1.032660778246656,0.004454475138530455,-0.6618408156839529,-0.05078478065014046,-0.5558909141969395,-1.249580698022109,-1.1012842197769683,-0.5428707741842282,-0.6359115141157069,-0.5649636436011726,-1.2084718855625265,-0.3711262322442522,-0.9819421003211934,-0.7149552231343153,0.2281390813615703,1.0343249793715683,0.3942254794972916,0.9150520593966257,0.8134293662146639,-1.3611978653076706,-0.6803153257893334,-0.4935941062829906,-0.14295368013990536,-0.7715678597544089,-0.31920141725081325,-0.3046797639723404,-0.5554179105937436,-0.7893398091962072,-0.4079206186137961,-0.24237068768035852,0.9424808210325697,-0.7802761918249336,0.29433031822030997,-0.08255576624067187,-0.16808932871379362,-0.2750451246868058,0.09875188071046243,-0.416357263189732,1.062426451922674,-0.06063928371927116,-1.3208738059891685,1.281568702914914,-1.0969601268240512,-1.530567337808559,-0.21040772380137066,1.6224872254236555,-0.0668836617988607,0.6101052041769254,-0.07649353254408911,-0.18147197782600533,2,6,9,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.222,5.026,True,0.4669788422889004,-2.129431247478964,-1.956154194328374,2.3502439756722584,-0.2607225763684911,-1.647309682579404,1.0309969838827329,-0.42065425277338314,-0.5335653846390898,-0.9985190149372349,0.38226108911402684,-0.6618408156839529,-0.5138292999054539,-0.5373747681007301,-1.3792222155231062,-1.3410423465636243,-0.5156295351935303,-0.6084067623271665,-0.43210250538639833,-1.2084718855625265,-0.04811763982975475,0.8148559936493303,1.226920133680045,-1.0535879090813047,-1.7267235757814505,0.2863184352468308,0.8602526288106338,-1.0466030810252267,-0.45965667101895286,-1.0679358440993623,-0.7772612440795411,-0.5728214366169448,-0.15918965136196916,1.982556044938516,1.1765148381095116,0.32361636599457555,0.8819730760605554,-0.4875467233672091,-1.1705526037298035,-1.2126592592990832,-0.8604426632446515,1.583346173400541,0.21072408676823964,-0.8745454255210016,-0.1956432859992129,-0.7898559066668095,0.13716509805562727,0.6489318921202946,0.5885271214555872,-1.4374324623091363,1.3561788784703541,-1.136230874897037,-1.5068520640754293,0.2516776790890631,2.0980898335956883,-0.4830875954490242,0.6396707994253908,-0.22213488949856203,-0.4100983280755182,2,6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.347,5.029,True,0.4669788422889004,-1.943810347931723,-1.6292571385441892,2.036356571816265,-0.2526746704261588,-0.27456330090399544,0.07149842617967664,-0.5519669574680625,-0.4252737375196408,-0.9302354883183933,0.04353791796358179,-0.6618408156839529,0.03304224438745939,-0.5258021767905994,-0.5566691389650547,-0.8284560065369805,-0.3609151485238102,-0.45219577629529095,-0.3025219836634722,-1.2084718855625265,0.9356805761867458,-0.9819421003211934,-0.7149552231343153,-1.0535879090813047,0.11836010030912278,0.5554761168148901,0.29223937949186407,0.20429956807306957,-0.48429129471401466,-0.3151473976775528,0.35740730710666074,0.2869140763371341,0.7593776612266905,-0.31920141725081325,-0.3046797639723404,-0.3796110552760798,-0.23223551411061963,-0.4875467233672091,-1.1705526037298035,0.07454044738364465,-0.7186467122950604,0.29433031822030997,0.3490286911345474,-0.6949379432818809,-1.463039205910438,0.4646492049246332,0.47324047261117413,0.66995703922889,-0.7324158506637714,-1.4547864697004034,1.4428950957918145,-1.2555208845977184,-1.3470418984498258,0.4178472007930825,1.6467620780643233,-0.7272119041218031,-0.8332173450971198,1.8835453885937834,-1.0712614994762217,2,6,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.339,5.003,True,0.4669788422889004,-1.9283749213169203,-1.6821037062202342,2.059876745129725,-0.2526746704261588,0.12159840655937773,-0.12213531889895225,-0.6110576745806683,-0.4886639699798061,-1.0369284986603335,-0.6339084243373084,-0.6618408156839529,0.11686926942505908,-0.5281166950526255,-1.2071119250476443,-0.8945961794436442,-0.5149365969198728,-0.607707121050636,-0.4459143706516651,-0.5211546786880162,0.0719686451193731,-0.9819421003211934,0.45672697158011144,-1.0535879090813047,0.031315359276877154,0.5300223895450066,1.7727385261199802,-1.3807113291658482,1.6102694001106457,-0.4569698554692368,-0.4935941062829906,-0.14295368013990536,-0.46537875555818903,-0.31920141725081325,-0.3046797639723404,-0.027997344640752115,0.32486878097496785,-0.4875467233672091,-1.1705526037298035,-1.8452259722974522,-0.8244520101598232,0.29433031822030997,0.38020897024391587,-0.3955921395500131,0.22062862666191166,0.5482828790307294,-0.21279504465896187,2.0295832189180705,0.2990533602076371,-1.9729999977893535,1.7187016579042105,-1.34623402923496,-1.9930873472645856,0.5831054422115409,1.8697707318083643,-1.0952205347881154,0.45926345099054966,-0.026391889032443473,-0.7911849813469428,2,6,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.339,5.001,True,0.4669788422889004,-1.9383485815911004,-1.6839445155442183,2.0669090393729412,-0.2607225763684911,-0.495676812046343,0.03970781131602109,-0.5782294984069984,-0.49130522966564627,-1.019857617005623,-0.6339084243373084,-0.6618408156839529,-0.6455574821073965,-0.20639865663098877,-1.4552189671616218,-1.9611064675635967,-0.4640556997581252,-0.5563340374809059,-0.46731166503237276,0.09128695601791344,-1.1998396121339083,1.3155680115049881,2.275530473846744,0.2281390813615703,-0.27411605719104576,0.4207353734305862,0.4597274074233932,0.2284433715240083,0.008699777075614043,0.07382195812314842,-1.0609283818760915,-1.8624247060480632,-1.6901351723430684,4.3717220183502254,2.9045752072050055,3.1365260510771966,2.553285961317318,-0.4079206186137961,-0.24237068768035852,0.04695759652615762,-0.42759186560905743,0.29433031822030997,-0.5187709581370845,-0.1291743742286508,-0.19427821140859527,-0.18351176939761218,-0.3274051678224482,-0.2060907569625921,-1.0581932519362167,-1.9729999977893535,1.7187016579042105,-1.34623402923496,-1.9930873472645856,0.5831054422115409,1.8697707318083643,-1.0952205347881154,0.45926345099054966,-0.026391889032443473,-0.7911849813469428,2,6,9,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.805,5.256,True,0.4669788422889004,-0.9610090307553703,1.337053686279265,-0.4484665866229124,-0.2607225763684911,-0.007384474940326218,0.02525753183254137,-0.39439171183444727,-0.0739861993028918,2.718665465375961,0.7600677030895232,-0.359480585694244,3.797274844885395,-0.19714058358288414,-0.16774458646206272,0.15537906544964203,-0.48813391060717914,-0.5806451641936634,-0.3729258136831372,-0.6016997024333278,0.6548481875907985,-0.9819421003211934,-0.7149552231343153,-1.0535879090813047,-0.18762384142873978,0.486019764663889,0.5000761996084748,-3.702638668268597,-1.1452560028366507,0.046724128728282265,0.0737401693101102,0.7167818328141736,1.0655667654229104,-0.31920141725081325,-0.3046797639723404,-0.3796110552760798,-0.23223551411061963,-0.4875467233672091,-1.1705526037298035,-2.492503539086481,-0.9162943790685991,0.29433031822030997,0.44689154734909997,-0.22795848946016717,-0.1391443654430938,-0.29850807129349444,-0.23846586947650916,1.6160886591156909,-0.26110543631067334,-0.18732205332118562,-0.8927610538052528,1.4586534985649702,-0.6505882997224117,-0.7506678430671005,1.901329894074938,0.3185032241399031,1.1851895028794706,-0.9607631576800959,0.19504610679235201,7,6,7,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.773,5.154,True,0.4669788422889004,-0.6505590657130337,1.2792982937392623,-0.5417395163488156,-0.2607225763684911,-0.44039843426075603,0.07149842617967664,-0.29590718331343774,0.13467331587848538,1.1908215572793774,0.6037339317893179,-0.2385364936983605,0.19670453136563046,-0.32443908799432314,-0.391264444222403,0.13057650060964365,-0.4229223802009034,-0.5148028228013378,-0.45666086472332007,-1.2084718855625265,0.5371806716555039,-0.9819421003211934,-0.7149552231343153,-1.0535879090813047,0.4060409458753324,0.19532669391891616,0.5546482286505205,0.12337164754685387,0.6636629831556707,0.7821522892235354,0.35740730710666074,0.7167818328141736,0.7593776612266905,-0.31920141725081325,-0.3046797639723404,0.14780951067691173,-0.23223551411061963,-0.4875467233672091,-1.1705526037298035,-0.13876693258092168,-0.49271207737792744,0.29433031822030997,-0.8268691616138146,1.0173200540644027,0.07069793412574055,-0.5598633028750449,-0.3935529711534063,-0.0729314919414868,-0.34732658136884986,0.23902652443765482,-1.3991732034549385,1.9526490675786217,-0.178847213464439,-0.7659377642424661,2.010926029066782,-0.11218153987250348,0.4944728061073468,-0.9607631576800959,0.16658205349973687,6,6,7,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
