Target,MLP Custom,MLP Estandar,RF Individual,RF Multisalida,RegressorChain,Ridge,XGBoost Individual,XGBoost Multisalida
GLOBAL,0.1611,0.1543,0.1704,0.1322,0.1803,0.1144,0.1699,0.2309
bac_asv_richness_z,0.1233,0.1393,0.1611,0.1133,0.1716,0.2097,0.1402,0.2194
bac_shannon_z,0.2015,0.1576,0.1465,0.1576,0.2144,0.1889,0.2447,0.254
cerc_asv_richness_z,0.0654,0.1533,0.0342,0.0647,0.0011,0.2026,0.1004,0.191
cerc_shannon_z,0.0441,0.0405,0.0916,0.0651,0.1564,0.0788,0.1986,0.1533
coll_shannon_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0205
coll_species_richness_z,0.1406,0.1156,0.1451,0.1156,0.1206,0.0845,0.0741,0.105
earthworm_richness_z,0.4525,0.5014,0.4348,0.4423,0.4412,0.3454,0.48,0.5228
earthworm_shannon_z,0.3826,0.4221,0.5965,0.4671,0.5923,0.216,0.5614,0.632
euk_asv_richness_z,0.3557,0.3037,0.2879,0.22,0.3188,0.2136,0.3174,0.4467
euk_shannon_z,0.2557,0.2216,0.3072,0.197,0.3072,0.1188,0.2919,0.3158
fun_asv_richness_z,0.1155,0.0474,0.055,0.029,0.117,0.0349,0.0,0.076
fun_shannon_z,-0.0444,-0.0287,0.053,-0.0114,0.0276,0.0,0.0091,0.0359
macro_order_richness_z,0.268,0.2555,0.4023,0.1641,0.3988,0.0654,0.2498,0.4225
macro_shannon_z,0.2476,0.2725,0.2968,0.1702,0.2862,0.0877,0.221,0.3631
meso_shannon_z,0.0055,-0.0257,-0.0257,-0.0284,0.0138,-0.0471,-0.0235,0.0077
meso_species_richness_z,0.0068,0.0138,-0.0701,-0.0515,-0.0192,0.021,-0.0494,-0.0374
nematode_shannon_z,0.0266,0.0102,0.0266,0.0541,0.0132,0.0574,0.0714,0.193
oomy_asv_richness_z,0.2692,0.0954,0.2344,0.197,0.2296,0.1667,0.2312,0.2332
oomy_shannon_z,0.1955,0.2315,0.1533,0.21,0.1757,0.1955,0.2874,0.3348
orib_shannon_z,0.1489,0.1696,0.1343,0.086,0.0625,0.0357,0.0283,0.1724
orib_species_richness_z,0.1235,0.1444,0.1138,0.1138,0.1581,0.1274,0.1138,0.1864
