Target,MLP Custom,MLP Estandar,RF Individual,RF Multisalida,RegressorChain,Ridge,XGBoost Individual,XGBoost Multisalida
GLOBAL,-0.0428,-0.0006,0.0849,0.0982,0.0783,-0.0257,0.0685,0.0804
bac_asv_richness_z,-0.0342,-0.0379,0.0181,0.005,-0.0208,-0.0861,-0.006,0.0217
bac_shannon_z,0.0113,0.0194,0.0197,0.0306,0.024,-0.0677,0.02,-0.0361
cerc_asv_richness_z,0.0048,0.0662,0.1257,0.121,0.1157,0.0877,0.1205,0.0854
cerc_shannon_z,-0.0476,-0.0536,-0.0035,0.0039,0.0142,0.0293,-0.0459,0.0214
coll_shannon_z,-0.9949,-0.8139,-0.3569,-0.1931,-0.7197,-0.599,-0.3515,-0.4247
coll_species_richness_z,-1.5757,-1.3333,-0.552,-0.3,-0.6342,-0.8035,-0.5636,-0.7314
earthworm_richness_z,0.4551,0.4468,0.5443,0.4581,0.5574,0.2775,0.5124,0.596
earthworm_shannon_z,0.3776,0.3591,0.4932,0.4178,0.5049,0.243,0.5012,0.5482
euk_asv_richness_z,0.1999,0.2357,0.2384,0.1835,0.2845,0.0585,0.1612,0.2281
euk_shannon_z,0.1105,0.1362,0.1489,0.1396,0.1767,0.0525,0.0882,0.094
fun_asv_richness_z,0.0134,0.0084,-0.0186,-0.0055,-0.0267,0.0084,-0.0248,-0.0645
fun_shannon_z,-0.0499,-0.0521,-0.0359,-0.0188,-0.0308,-0.0083,-0.0237,-0.0439
macro_order_richness_z,0.2422,0.2563,0.3046,0.2666,0.4331,0.1598,0.3128,0.445
macro_shannon_z,0.1918,0.2066,0.2788,0.2103,0.2995,0.1231,0.2697,0.3894
meso_shannon_z,-0.3789,-0.2448,-0.1995,-0.1251,-0.2102,-0.2932,-0.2002,-0.3146
meso_species_richness_z,-0.1863,-0.0942,-0.053,-0.0263,-0.0619,-0.1077,-0.0776,-0.1187
nematode_shannon_z,0.0482,0.0656,0.136,0.1527,0.1434,-0.0006,0.1492,0.2189
oomy_asv_richness_z,0.0905,0.1102,0.2018,0.1998,0.2288,0.1017,0.1917,0.1875
oomy_shannon_z,0.1902,0.2169,0.0829,0.1288,0.0985,0.0949,0.1011,0.062
orib_shannon_z,0.2009,0.225,0.1884,0.1708,0.2396,0.0989,0.1446,0.24
orib_species_richness_z,0.2323,0.2643,0.2218,0.2433,0.2275,0.0901,0.1588,0.285
