Notebook,branch,media,desviacion,minimo,maximo,n
xgb_multisalida.ipynb,model-prep-rs-group-1,0.5867,0.0127,0.5505,0.6251,491
xgb_multisalida.ipynb,model-prep-rs-group,0.5866,0.0112,0.5597,0.6106,101
rf_model.ipynb,model-prep-rs-group,0.5643,0.0103,0.5426,0.5873,101
rf_model.ipynb,model-prep-rs-group-1,0.5635,0.0106,0.5353,0.59,491
regressorchain.ipynb,model-prep-rs-group-1,0.5279,0.0121,0.4924,0.5664,491
regressorchain.ipynb,model-prep-rs-group,0.527,0.0118,0.5046,0.559,101
xgboost_model.ipynb,model-prep-rs-group-1,0.4895,0.0,0.4895,0.4895,491
xgboost_model.ipynb,model-prep-rs-group,0.4895,0.0,0.4895,0.4895,101
mlp_multisalida.ipynb,model-prep-rs-group-1,0.4592,0.0455,0.2597,0.5618,491
rf_multisalida.ipynb,model-prep-rs-group-1,0.4494,0.0086,0.42,0.4808,491
rf_multisalida.ipynb,model-prep-rs-group,0.4493,0.0087,0.4178,0.4733,101
mlp_custom_loss.ipynb,model-prep-rs-group-1,0.4491,0.0402,0.2841,0.5469,491
mlp_multisalida.ipynb,model-prep-rs-group,0.4354,0.0325,0.3511,0.5132,101
mlp_custom_loss.ipynb,model-prep-rs-group,0.4185,0.041,0.2991,0.5315,101
reg_model.ipynb,model-prep-rs-group,0.2789,0.0,0.2789,0.2789,101
reg_model.ipynb,model-prep-rs-group-1,0.2789,0.0,0.2789,0.2789,491
