Notebook,Target,R2 (model-prep-var),RMSE (model-prep-var),MAE (model-prep-var),R2 (model-prep-var-1),RMSE (model-prep-var-1),MAE (model-prep-var-1),Delta_R2 (model-prep-var-1),R2 (model-prep-var-2),RMSE (model-prep-var-2),MAE (model-prep-var-2),Delta_R2 (model-prep-var-2),R2 (model-prep-var-1-2),RMSE (model-prep-var-1-2),MAE (model-prep-var-1-2),Delta_R2 (model-prep-var-1-2),R2 (model-prep-var-3),RMSE (model-prep-var-3),MAE (model-prep-var-3),Delta_R2 (model-prep-var-3),R2 (model-prep-var-1-3),RMSE (model-prep-var-1-3),MAE (model-prep-var-1-3),Delta_R2 (model-prep-var-1-3)
xgboost_model.ipynb,earthworm_shannon_z,0.4946,0.7096,0.5336,0.4931,0.7107,0.5333,-0.0015,0.4906,0.7124,0.5351,-0.004,0.4954,0.7091,0.5319,0.0008,0.4935,0.7104,0.5325,-0.0011,0.4958,0.7088,0.5317,0.0012
xgboost_model.ipynb,earthworm_richness_z,,,,,,,,,,,,,,,,,,,,,,,
xgb_multisalida.ipynb,earthworm_shannon_z,,,,,,,,,,,,,,,,,,,,,,,
xgb_multisalida.ipynb,earthworm_richness_z,,,,,,,,,,,,,,,,,,,,,,,
rf_model.ipynb,earthworm_shannon_z,,,,,,,,,,,,,,,,,,,,,,,
rf_model.ipynb,earthworm_richness_z,,,,,,,,,,,,,,,,,,,,,,,
rf_multisalida.ipynb,earthworm_shannon_z,,,,,,,,,,,,,,,,,,,,,,,
rf_multisalida.ipynb,earthworm_richness_z,,,,,,,,,,,,,,,,,,,,,,,
regressorchain.ipynb,earthworm_shannon_z,,,,,,,,,,,,,,,,,,,,,,,
regressorchain.ipynb,earthworm_richness_z,,,,,,,,,,,,,,,,,,,,,,,
reg-model.ipynb,earthworm_shannon_z,,,,,,,,,,,,,,,,,,,,,,,
reg-model.ipynb,earthworm_richness_z,,,,,,,,,,,,,,,,,,,,,,,
mlp_multisalida.ipynb,earthworm_shannon_z,0.3583,,,0.3504,,,-0.0079,0.3463,,,-0.012,0.3546,,,-0.0037,0.3602,,,0.0019,0.4065,,,0.0482
mlp_multisalida.ipynb,earthworm_richness_z,0.4539,,,0.4316,,,-0.0223,0.4381,,,-0.0158,0.4457,,,-0.0082,0.4717,,,0.0178,0.4998,,,0.0459
mlp_custom_loss.ipynb,earthworm_shannon_z,0.3438,,,0.3569,,,0.0131,0.407,,,0.0632,0.3835,,,0.0397,0.3257,,,-0.0181,0.3519,,,0.0081
mlp_custom_loss.ipynb,earthworm_richness_z,0.4543,,,0.4778,,,0.0235,0.5043,,,0.05,0.4694,,,0.0151,0.4467,,,-0.0076,0.4488,,,-0.0055
