Target,MLP Custom,MLP Estandar,RF Individual,RF Multisalida,RegressorChain,Ridge,XGBoost Individual,XGBoost Multisalida
GLOBAL,0.2028,0.1911,0.2051,0.1694,0.2228,0.1533,0.2385,0.2424
bac_asv_richness_z,0.2164,0.1791,0.1846,0.1393,0.1568,0.219,0.3173,0.2791
bac_shannon_z,0.2258,0.1576,0.2291,0.1946,0.2201,0.2069,0.2623,0.3063
cerc_asv_richness_z,0.1333,0.15,0.1101,0.0512,0.0342,0.2238,0.184,0.1357
cerc_shannon_z,0.0299,-0.0338,0.1412,0.0876,0.1997,0.0642,0.1667,0.1777
coll_shannon_z,0.0,0.0,0.0,0.0,0.0,0.0208,0.053,0.0876
coll_species_richness_z,0.1809,0.1756,0.1321,0.1321,0.1287,0.108,0.1745,0.1582
earthworm_richness_z,0.4602,0.5173,0.516,0.4546,0.4485,0.4379,0.5237,0.5106
earthworm_shannon_z,0.4538,0.4329,0.6278,0.5671,0.6324,0.2659,0.5809,0.6162
euk_asv_richness_z,0.4016,0.4683,0.3708,0.3369,0.4324,0.2344,0.4386,0.3955
euk_shannon_z,0.292,0.3638,0.345,0.3127,0.3817,0.1543,0.2398,0.2499
fun_asv_richness_z,0.1934,0.0381,0.1456,0.1368,0.109,0.1934,0.061,0.0812
fun_shannon_z,0.0436,0.0276,0.0488,-0.0024,0.0403,-0.0323,0.0886,0.0637
macro_order_richness_z,0.3604,0.2947,0.3561,0.2276,0.4293,0.1937,0.4381,0.4292
macro_shannon_z,0.4109,0.35,0.3766,0.1652,0.4472,0.2017,0.4137,0.4577
meso_shannon_z,0.0189,-0.0302,-0.0257,-0.0306,0.0557,-0.0352,-0.025,0.0329
meso_species_richness_z,-0.0435,0.0138,-0.087,-0.0449,-0.0252,-0.0048,-0.031,-0.0374
nematode_shannon_z,0.1254,0.0981,0.1006,0.0826,0.1674,0.0155,0.2044,0.264
oomy_asv_richness_z,0.3181,0.257,0.2262,0.3237,0.3081,0.3116,0.2423,0.245
oomy_shannon_z,0.2073,0.2491,0.2412,0.2025,0.2644,0.1596,0.336,0.3348
orib_shannon_z,0.1343,0.1489,0.1197,0.0636,0.0909,0.1197,0.1958,0.1724
orib_species_richness_z,0.096,0.1553,0.1475,0.1581,0.1581,0.1609,0.1444,0.131
