random_state,r2_global,rmse_global,mae_global,nematode_shannon_z_r2,macro_shannon_z_r2,earthworm_shannon_z_r2,orib_shannon_z_r2,meso_shannon_z_r2,coll_shannon_z_r2,bac_shannon_z_r2,fun_shannon_z_r2,euk_shannon_z_r2,oomy_shannon_z_r2,cerc_shannon_z_r2,macro_order_richness_z_r2,earthworm_richness_z_r2,orib_species_richness_z_r2,meso_species_richness_z_r2,coll_species_richness_z_r2,bac_asv_richness_z_r2,fun_asv_richness_z_r2,euk_asv_richness_z_r2,oomy_asv_richness_z_r2,cerc_asv_richness_z_r2
0,-0.08402452126961459,0.9656553039829125,0.719357177218895,0.040261337265887986,0.15146420071289268,0.29666047364903836,0.23627049324842886,-0.2956328940550843,-1.2180784337981967,0.00022924869416607319,-0.07049276039734775,0.10224354054478701,0.16091097406097998,-0.13189687579231912,0.21284307945011327,0.4072818278804572,0.2534577264429968,-0.12850661405880892,-2.056725988101378,-0.05326439055043042,0.004384868780897944,0.1844486262802716,0.09163047689864157,0.0479961361821003
1,-0.09123407101900553,0.9674139502836432,0.7192906473811944,0.04466443822004851,0.27542293376851457,0.28631532261308235,0.20182801040474352,-0.37163412545069296,-1.306906993741027,-0.08666370135456947,-0.044674957140296234,0.0663799276891518,0.2271241270964639,-0.07356847890081286,0.351236275265452,0.37378331020991884,0.2425680666264317,-0.1753901316329558,-2.1338480284007844,-0.12875991234082051,0.0016128471683447554,0.16445278132120889,0.09262503061967908,0.07751776655980303
2,-0.03939485103822445,0.9557127521739088,0.7128384061979667,-0.007352447035747556,0.11940951139394218,0.3278398332572837,0.24412618513990303,-0.3171775467847322,-0.8777442408582985,-0.001463147772931217,-0.08517865327238949,0.1381874065456783,0.21217537841616396,-0.05076167188627023,0.16429423780237107,0.41751609757514996,0.28067730300191407,-0.1289720070402589,-1.6138976037682005,-0.0367295143424029,-0.0009336781567723662,0.22447552875324028,0.11313566682446952,0.05108149040517396
3,-0.022155769543491393,0.953782101106739,0.7110254898268382,0.05205363210236558,0.12337907705246576,0.3585026007735913,0.2039725392319922,-0.3256500763671324,-0.7879777417225333,-0.0010108124493037884,-0.06993344515266209,0.13466839853331303,0.18356327125976102,-0.019927399551147085,0.18365854412427474,0.4486622874786801,0.23065430577239177,-0.1422199448860999,-1.3552409141195745,-0.04740178998112676,0.01901153602871508,0.2113994116342537,0.09263155770484677,0.04193380211960973
4,-0.08734343760158085,0.9651856751726648,0.7203408096091066,0.06479724925176444,0.2052270427149261,0.36774529878332707,0.19737962103813567,-0.3809444578371528,-1.2685480398159257,0.022312580597735332,-0.04864498301015452,0.1290933074910191,0.15465760296284414,-0.06429291474206678,0.24450706991182292,0.45413547025832,0.22604356011889404,-0.19137182340024883,-2.1959287664343154,-0.05498113456889042,0.03302894023275138,0.22024195791047185,0.07168915460954828,-0.02035892570600417
5,-0.04420048721676827,0.9581270088356137,0.7170855940520373,-0.0064293267095258955,0.1342220600486158,0.3510620806751493,0.22533326366214745,-0.30699768226512636,-0.9610766905104255,0.002664497014323697,-0.07791713182538018,0.10957940857412352,0.18582715327301236,-0.052588818964754536,0.19740425118815597,0.431496217844193,0.24661147355570867,-0.12434431240486488,-1.5998030425931673,-0.05615451355991885,0.018153073953206866,0.24541038677751403,0.057130660217519336,0.052206760497359395
6,-0.023924637180716517,0.9486526242664969,0.7151781688911881,0.05103265118370226,0.22515114387327329,0.33968117076961146,0.2529685481153695,-0.2694135248939433,-0.9152853959907485,-0.03043037648145308,-0.06216663330162753,0.1414799535384753,0.1839460730418483,-0.10348353325180648,0.25990062336926545,0.4216928890970866,0.2900051018123395,-0.09377794510735127,-1.546140262816858,-0.07535177443972763,0.027114823131965227,0.25715149593768694,0.0787190399845048,0.06478855163334007
7,-0.10341870722281031,0.9637918076569683,0.721374232344539,0.055128444615867744,0.21808684045300697,0.30893472310797354,0.2470307132058055,-0.35446676235299024,-1.4869088835305426,0.018646642180496387,-0.034167254849832185,0.12333429753907743,0.20546994072398994,-0.08793378373098037,0.27744062368706934,0.37311872975716887,0.2828486404221684,-0.16658399781473565,-2.458094353711008,-0.0322096162116603,0.009358034234967172,0.18549926167026232,0.08917367789195452,0.054501231032924924
8,-1.765513091386971e-05,0.9447528123699299,0.7076724045222585,0.09652429825963316,0.2710188090748471,0.4032958290821258,0.22164547196759243,-0.26124091710610275,-0.8081347198775726,-0.047868717993093,-0.06556616187653397,0.17173108183381902,0.14132375081250526,-0.11221492403486466,0.3707898574806784,0.4638130997637371,0.2576473912161745,-0.11036775495945039,-1.2384821972966447,-0.11436199905630118,0.007310611299983338,0.23498589933972402,0.08128078620640877,0.03649974811414303
9,-0.038753346970791046,0.9514302274902938,0.7184859364299995,0.12310674746592887,0.2620855586653128,0.35408617249986496,0.2340013725113116,-0.327489339076676,-1.1301756097167832,-0.04674281533662361,-0.05963431088746041,0.1323108323730734,0.21522909339707386,-0.0944861544805553,0.31638989326754874,0.46133985104328445,0.25744284453146293,-0.15486341491730404,-1.6830239487119054,-0.11174957065292546,0.021331881070186243,0.23504245373693977,0.1078429484240151,0.07413522840761888
10,-0.04464848646120138,0.9541172270195983,0.7143370608346239,0.06407038442776802,0.21864213597265347,0.31731520459422413,0.2117226595299635,-0.30980672982224355,-1.0226409693649945,-0.02065292118944395,-0.055755538152471695,0.17186555566142525,0.23484083194668937,-0.10233729492532095,0.2877079795906934,0.42748640705079977,0.2473230563236395,-0.12059161106771654,-1.8065447054605484,-0.06893738260878601,0.003609461175291706,0.28284428357487235,0.07140119348050589,0.030819783577770266
11,-0.03292309028014843,0.9493747315128006,0.7103087888883985,0.09548168814589597,0.15251292152861484,0.4198479521369358,0.20970531697050365,-0.27781411491236674,-0.9796193839375114,0.04428915018691437,-0.04472190352264782,0.1257751555908142,0.20398901030204597,-0.045569576195092054,0.19812667126729178,0.5003174070632956,0.24086649328776488,-0.1367281671448064,-1.7196944133931322,-0.018022777354125497,0.012495396579245255,0.19066092035944315,0.10933716556946316,0.027380191588336933
12,-0.05356533427764898,0.9593854349837717,0.7190892519768491,0.04597286347764484,0.17208938788236394,0.34099316775133426,0.19734085173819793,-0.29319398791051654,-0.9979202603147994,-0.03889693210660128,-0.05389143182545575,0.09564225247605651,0.21527701339987337,-0.0823417762865859,0.24473494718567035,0.42578864983306164,0.23277024476816588,-0.14838793289654628,-1.7589165660914303,-0.08543594768632268,0.0053132735083200044,0.18927500862521884,0.11317283159816494,0.05574232304355686
13,0.004831204446122801,0.943991589587553,0.7106861530970333,-0.01616278256888526,0.23267852224913477,0.38214774770475923,0.2266263296575114,-0.18271196555297586,-0.6920117149801259,-0.0025656257286033046,-0.0641065656188875,0.09284119422442305,0.15850579077384241,-0.03018883572113129,0.29628023189388575,0.46590633621765265,0.23449253663143388,-0.04208027713962981,-1.2086030060972859,-0.06753179313910529,0.01210470198973368,0.17204834964490578,0.09209459520351182,0.041691523724414536
14,-0.022908640781844312,0.9538683547256674,0.7156952134567476,0.06073284466952522,0.20966397784493673,0.3596545966522122,0.17353914671326642,-0.29311275890554866,-0.7764568093043169,-0.05359357753463212,-0.06595348822892233,0.15460159881174562,0.18898503389071664,-0.08719024015533638,0.2535991385720763,0.44969747546008443,0.22860094151599275,-0.13222993652997594,-1.4268165862715452,-0.10198994350381074,0.007219688697930549,0.23843746877643024,0.05447930309718507,0.07705066931325533
15,-0.06053357128490751,0.9637074047907359,0.7164788924030764,0.004172306563360206,0.1668539635587808,0.3539703599095655,0.20841172528700425,-0.26781891375396016,-1.0196302092761274,-0.09262837529975787,-0.09449295776428102,0.09744018542066957,0.16737049168815799,-0.06333410904386283,0.22770925877114712,0.41068343155145015,0.2649089636147943,-0.12147586488445428,-1.6987898150525025,-0.10935121729901565,0.006288261790727501,0.16705792158717814,0.1002535614330099,0.02119603421505789
16,0.016141323284795703,0.9426822997137697,0.7100476988624674,0.05098655330244806,0.19071450656336697,0.3362030279260273,0.21701662615209105,-0.22720596911756719,-0.5948607192523074,0.011238435384276713,-0.06910502251658568,0.12342058619669882,0.1909483762624551,-0.08765797692235489,0.23691567749503095,0.42186662586310275,0.24893703851148485,-0.07167689575095282,-1.0086605630073344,-0.03179840021326563,0.012101911511121832,0.23127248384661658,0.07514762815725562,0.08316385858910125
17,0.02119941610153984,0.9436474980785531,0.7067872188189825,0.026155524438742028,0.1337763532336801,0.40136930266536464,0.23868160214285006,-0.20151059224624968,-0.5170812506404998,-0.05560887539951698,-0.09449785867371419,0.13581631344839473,0.16053915135302144,-0.06842800914030711,0.16671531895711544,0.49506950650383796,0.292022709208537,-0.07148182159173322,-0.8470826293788394,-0.0601959731102204,0.01881754638214428,0.18136616599545996,0.06632758369631098,0.044417670287958844
18,-0.10360074801029492,0.9742547870226481,0.7279595726510015,0.05623063425974495,0.18520756592138743,0.2992037779500347,0.19798617348631153,-0.35437147676741243,-1.3173326489623607,-0.07471194528233904,-0.09717567588091303,0.05486236261513888,0.16337109886464063,-0.08169822141910843,0.20992436992406538,0.39718215939423906,0.2382936412479415,-0.19332568857219745,-2.0936130285911574,-0.10585062167991999,0.01189124195493918,0.1582496116561718,0.09754216184096531,0.07251879982363496
19,-0.018100849432870894,0.9513119842217438,0.711791664846705,0.04166333788310339,0.18924897165184007,0.4060141121952503,0.21985724497137382,-0.26801796195541217,-0.7889460946850997,-0.014131610416221685,-0.04938348690647065,0.11933306405223865,0.1689606413006609,-0.10255324233920393,0.23223907261126941,0.44780352352008324,0.2378688815147365,-0.0933303648383288,-1.3357827586324102,-0.05795878884850647,0.020385461035626884,0.1778406806462366,0.06527212895581636,0.0034993501931288584
20,-0.05176694947736845,0.9584808076394914,0.7169712811243718,0.025758345725605092,0.1375868526337194,0.367891362479409,0.23321158714678536,-0.2852586051502324,-0.959820002913971,-0.028490458218763504,-0.07961671440068185,0.12129505318347866,0.15551688610722258,-0.07062371815640267,0.2038064629086057,0.4790968942844309,0.26966093094703336,-0.1180480688223251,-1.7885621465672301,-0.08115273028359549,0.021696822253352566,0.21549916813369407,0.058919087038765805,0.03452705264636191
21,-0.025767991195675372,0.9494175349996948,0.7080350065167558,0.078462776423876,0.21789841826814582,0.3360215365661998,0.22050221552184557,-0.24970819597863558,-0.9289659870703637,-0.00276040463028826,-0.04063969381026156,0.12887530922870893,0.20456194399569005,-0.09685180589888942,0.268558137042169,0.45038756542136593,0.23998049245793784,-0.11679278892053424,-1.5817767895524883,-0.05344726953727408,0.0018822326689428293,0.24726446259785917,0.0641766842551853,0.07124334584162617
22,-0.007654082937296689,0.9487518719485591,0.7145946647655731,-0.003453453344086199,0.194308303967749,0.40711761208606423,0.2070879946300832,-0.19649279441225698,-0.7439217120856141,-0.026331505628088614,-0.06319143839981733,0.045975207778988114,0.1963954360420208,-0.07425032902215589,0.2288332286514757,0.5131696530061375,0.23930991499554877,-0.06474049260954118,-1.2397684702166307,-0.068129461656397,0.025773423089461733,0.16697356618865455,0.044752179903100875,0.049847395352073054
23,-0.009773560473926053,0.947247835372427,0.7089415337157794,0.05575879013767371,0.18185856176776238,0.3951191625598307,0.1940329350783202,-0.25482234991137775,-0.8110069402065483,-0.027526141896200285,-0.049274540336299744,0.11935769768149096,0.20857696832840655,-0.009629050833585895,0.24547472121877156,0.45408110256048373,0.2235100612091404,-0.09871024640172577,-1.3620157361009815,-0.06367302791904073,0.0163940463601987,0.20728662963975486,0.11902256744078565,0.05094001967069339
24,-0.022501374593788943,0.953106134606629,0.7137175844712551,-0.028173462425991724,0.13345900595862692,0.407719464919742,0.25227827607396536,-0.30060607533443773,-0.7839722107886782,0.007253282843612929,-0.07077237776594103,0.0824309486050806,0.20393848419398675,-0.09390586905728138,0.16618144877517638,0.46979110933127655,0.27437384762903383,-0.13451452793229546,-1.324139141294138,-0.047589089817295704,0.0074298912484171975,0.18816648846641626,0.10655665015055726,0.011564989750599275
25,-0.05298439906161392,0.9563533092959392,0.7178721253203405,0.061750978680644164,0.1790843076434564,0.3235693153366581,0.21080970473316685,-0.23402045209254418,-1.0664866572139515,-0.039339522983456554,-0.041890178589981675,0.12090578552933628,0.17749358265679127,-0.05734235373056884,0.24662668753259642,0.43598465187978697,0.25749067325887653,-0.06527357537758416,-1.8667471269886735,-0.09694861181012882,0.011926057836305848,0.20998227049664997,0.07911269041252633,0.040639392496202076
