random_state,r2_global,rmse_global,mae_global,nematode_shannon_z_r2,macro_shannon_z_r2,earthworm_shannon_z_r2,orib_shannon_z_r2,meso_shannon_z_r2,coll_shannon_z_r2,bac_shannon_z_r2,fun_shannon_z_r2,euk_shannon_z_r2,oomy_shannon_z_r2,cerc_shannon_z_r2,macro_order_richness_z_r2,earthworm_richness_z_r2,orib_species_richness_z_r2,meso_species_richness_z_r2,coll_species_richness_z_r2,bac_asv_richness_z_r2,fun_asv_richness_z_r2,euk_asv_richness_z_r2,oomy_asv_richness_z_r2,cerc_asv_richness_z_r2
0,0.0761462583817635,0.9211346454992734,0.685071782872438,0.2259074813607811,0.36930835004215967,0.5390272520927675,0.2540731295502454,-0.28294466881590274,-0.44320606022873354,-0.04466106196229669,-0.054825788741161396,0.0985531864669279,0.04485225951506344,-0.013068368722185753,0.39919699398689446,0.5789599129377385,0.2698050381658452,-0.10431172896273422,-0.6293494446701693,0.01725473395889421,-0.06839921256882442,0.20604960639589465,0.1383635525509026,0.09848626366492697
1,0.07079449122212471,0.9258302550679379,0.6866824274806546,0.20757670146063767,0.35179897328305176,0.5201944813835258,0.22524561327186288,-0.34575423495408164,-0.3987282868945994,-0.04591015038492241,-0.054434499797540115,0.08553899000537202,0.03419153412205489,-0.005510592310857376,0.4119198341921603,0.5991417665952389,0.2492940473962043,-0.1251157277952064,-0.6095068717664782,-0.004509462459092672,-0.07895643759871818,0.21367264070496106,0.16123795980884348,0.09529803740220233
2,0.07660457051143053,0.92048251563316,0.6859471887481579,0.2101290099614469,0.35869867107571807,0.5390204984265297,0.22344174859284072,-0.24746852959346,-0.35258928591685224,-0.03702771520249626,-0.04923865133819194,0.09635290774925798,0.03904116534558855,-0.05166388125813692,0.4146563088228076,0.5687486763713632,0.27320879622927496,-0.08648655517120574,-0.7406159393051406,0.013779120812257073,-0.05662565636695094,0.23661407762389886,0.1439804269372923,0.1127407869442002
3,0.08474612164381876,0.9176949578229967,0.6831000473298564,0.1825952986587447,0.38311989089179443,0.5459103889651812,0.2217063590827837,-0.277891204888544,-0.4420232070174286,0.0026873726616007954,-0.061732126834740386,0.08063829993412808,0.09249819581860264,-0.02192003069904347,0.42186396867813447,0.5772245714171077,0.31072703510812494,-0.13521704537363521,-0.5549230770169697,0.028576915716517326,-0.0692878698882684,0.227519584818081,0.16417288344519232,0.1034223510428306
4,0.08142663029560245,0.9181417260956701,0.682385946614688,0.2350417887179087,0.3647055851311346,0.529470864679082,0.23388901714637644,-0.28734086845788864,-0.3849429983906394,-0.0012842174953611174,-0.03875397390376012,0.10134810538186745,0.026853412658020326,-0.01307293311601243,0.3926085732732859,0.5743415244095185,0.2902433261070233,-0.10299472051327885,-0.6706532581828129,0.025652443881342024,-0.05900144996318102,0.21147482706414544,0.17988929569540035,0.10248489208548062
5,0.07130509858967987,0.9241494404721272,0.6866248799817612,0.21159369538724726,0.36412800755766794,0.5236735993879669,0.21288757466082908,-0.3150295614000378,-0.3459817739143327,-0.031113746890335303,-0.043910921843591355,0.058956515227884476,0.074563839657101,-0.05058616878476552,0.3969837240932572,0.5899985975282767,0.2514233951139494,-0.14392269753290732,-0.6878309833420511,0.04098037068625149,-0.07107625979795817,0.21524395288335152,0.1520081413128499,0.09441777039262433
6,0.0759730165671313,0.9215853821879885,0.6863099063408793,0.19617268400628185,0.39023064095710747,0.5214637534793733,0.2452327348474631,-0.3015459817257633,-0.32169494254977105,-0.03895834455847891,-0.032546074859279406,0.03434808423343472,0.03621459296710394,-0.06424141552307816,0.4089523995136336,0.6056343989863958,0.3058396276448828,-0.140615744069998,-0.6720432226862507,0.028747041443315857,-0.07650912674775157,0.2200016251802236,0.1487352383472822,0.10201537902363
7,0.06353662852468549,0.9248229954967658,0.6885577441268795,0.1912496235696617,0.38777956522418344,0.5286855079543571,0.22679408488637676,-0.3161425303878924,-0.40248360683589723,-0.0428518832683602,-0.037783155162363524,0.11174005149637678,0.06491952339039864,-0.06939636399782123,0.4028072383210477,0.5931071470552892,0.2788375355578082,-0.14907427640295223,-0.8259810538424646,-0.007746318807019703,-0.09322969137938286,0.2203071176436605,0.16424076463229187,0.10848991937109753
8,0.06649432897384312,0.9263044815824114,0.6906351574005887,0.14437729232750207,0.36341307173841286,0.5375239567878154,0.23369384559252704,-0.28177982482439234,-0.3849279172038216,-0.03410491376987945,-0.037628817247595814,0.08050962965236286,0.04139871544263696,-0.034441351403737386,0.36340565343144116,0.5851148782370277,0.2649143794561226,-0.09806541352834941,-0.676901194919703,-0.028409890132821358,-0.08969221645711034,0.18722316511415082,0.16719172031060436,0.09356613984751216
9,0.07895461290359113,0.920497757912669,0.6839483647051073,0.22600954728347422,0.3730464332762756,0.5239131163624124,0.21308697308687752,-0.27012258458116345,-0.38934658724819116,-0.026463610576025642,-0.057700730014018875,0.11577513247385596,0.033144065190953365,-0.02668554108793786,0.42059797060973136,0.5844944213894738,0.26251835111374755,-0.10282435069085394,-0.6658449504808754,0.00737068152873499,-0.04769858723949971,0.23468422914666043,0.16335788689609476,0.08673500453568783
