Target,MLP Custom,MLP Estandar,RF Individual,RF Multisalida,RegressorChain,Ridge,XGBoost Individual,XGBoost Multisalida
GLOBAL,0.0481,0.0757,0.0753,0.1143,0.0901,-0.1397,0.083,0.0832
bac_asv_richness_z,-0.104,-0.0968,-0.0113,0.0059,-0.0673,-0.1106,0.0471,0.0347
bac_shannon_z,-0.0228,-0.0498,-0.0389,0.0482,-0.0096,-0.1034,-0.0591,-0.0638
cerc_asv_richness_z,0.0771,0.0447,0.1218,0.1313,0.1076,0.0663,0.0889,0.0899
cerc_shannon_z,-0.1069,-0.1191,0.0018,0.0134,0.0266,-0.0106,-0.0166,-0.0116
coll_shannon_z,-0.353,-0.2967,-0.4616,-0.2276,-0.65,-1.0871,-0.3925,-0.3812
coll_species_richness_z,-0.6486,-0.5638,-0.7277,-0.3923,-0.5584,-1.6505,-0.692,-0.7641
earthworm_richness_z,0.5212,0.5171,0.5822,0.5289,0.5895,0.2698,0.602,0.6078
earthworm_shannon_z,0.4025,0.4154,0.5352,0.5003,0.545,0.2991,0.5274,0.5459
euk_asv_richness_z,0.2477,0.2887,0.2761,0.2249,0.3184,-0.0131,0.238,0.2469
euk_shannon_z,0.1711,0.1931,0.1691,0.1648,0.2065,0.0134,0.0894,0.0892
fun_asv_richness_z,-0.0313,0.0114,-0.044,-0.0109,-0.0277,-0.0071,-0.0774,-0.0715
fun_shannon_z,-0.0643,-0.0344,-0.0407,-0.0293,-0.0265,-0.2,-0.0349,-0.0294
macro_order_richness_z,0.3497,0.3703,0.3453,0.315,0.4561,0.1007,0.4133,0.4405
macro_shannon_z,0.2552,0.2762,0.3221,0.2545,0.3408,0.0514,0.4012,0.4059
meso_shannon_z,-0.2887,-0.235,-0.211,-0.1493,-0.2449,-0.4939,-0.2571,-0.2324
meso_species_richness_z,-0.1287,-0.078,-0.0755,-0.0478,-0.065,-0.2967,-0.0692,-0.0809
nematode_shannon_z,0.0741,0.1297,0.1344,0.2009,0.1659,-0.0703,0.2427,0.2216
oomy_asv_richness_z,0.0596,0.0647,0.1931,0.2622,0.2145,0.0052,0.1484,0.1259
oomy_shannon_z,0.0831,0.1443,0.0857,0.1318,0.0867,-0.013,0.0119,0.0118
orib_shannon_z,0.225,0.2771,0.2047,0.203,0.2478,0.1475,0.2495,0.2794
orib_species_richness_z,0.292,0.3308,0.2198,0.2723,0.2362,0.1697,0.2817,0.2824
