random_state,earthworm_shannon_z_r2,earthworm_richness_z_r2,Modelo,r2_medio_prioritarios,posicion
100,0.5315474949492036,0.578151461819746,XGBoost Multisalida,0.5548494783844748,1
100,0.4976700532860313,0.5417401899400729,RF Individual,0.5197051216130522,2
100,0.4551822260665157,0.5098934338799201,Random Forest con RegressorChain,0.4825378299732179,3
100,0.3783478175405421,0.5126628170188465,MLP Estandar,0.44550531727969434,4
100,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
100,0.4057516615143444,0.4459538163244615,RandomForest Multisalida,0.42585273891940295,6
100,0.3634529504194178,0.4683122656347183,MLP Perdida Custom,0.415882608027068,7
100,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
110,0.5453999034112874,0.5868514698978604,XGBoost Multisalida,0.5661256866545739,1
110,0.5188931978015143,0.5570863211709337,RF Individual,0.537989759486224,2
110,0.483661765842457,0.5215293193558179,Random Forest con RegressorChain,0.5025955425991375,3
110,0.399183492011935,0.5185248985566967,MLP Perdida Custom,0.4588541952843158,4
110,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
110,0.407234598812899,0.4354419999092418,RandomForest Multisalida,0.42133829936107037,6
110,0.3439079285207921,0.4148068227740211,MLP Estandar,0.37935737564740657,7
110,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
120,0.546032123842032,0.5886456240766095,XGBoost Multisalida,0.5673388739593208,1
120,0.5038853563211863,0.5566304963971791,RF Individual,0.5302579263591827,2
120,0.4722923847183781,0.512975053252933,Random Forest con RegressorChain,0.49263371898565556,3
120,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
120,0.4118959566085577,0.4415840924967802,RandomForest Multisalida,0.42674002455266896,5
120,0.334180567240197,0.4588806959987168,MLP Perdida Custom,0.3965306316194569,6
120,0.207671134812292,0.3769448443019554,MLP Estandar,0.29230798955712367,7
120,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
130,0.5290738808669079,0.6003204900745043,XGBoost Multisalida,0.5646971854707061,1
130,0.49997761792321,0.558856822524459,RF Individual,0.5294172202238345,2
130,0.494231560694258,0.5342980610695645,Random Forest con RegressorChain,0.5142648108819112,3
130,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
130,0.4140407172291566,0.4485884585724525,RandomForest Multisalida,0.43131458790080457,5
130,0.3686135291217191,0.4689692909507684,MLP Estandar,0.41879141003624376,6
130,0.2732153468714884,0.3855416506805532,MLP Perdida Custom,0.32937849877602077,7
130,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
140,0.5275963202548637,0.587682372082893,XGBoost Multisalida,0.5576393461688783,1
140,0.494254348201763,0.5536185073641409,RF Individual,0.5239364277829519,2
140,0.4894679125425822,0.531674954143722,Random Forest con RegressorChain,0.5105714333431521,3
140,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
140,0.3995441138196991,0.4387423865219295,RandomForest Multisalida,0.41914325017081433,5
140,0.3666867367076786,0.4543183831114656,MLP Estandar,0.4105025599095721,6
140,0.2488777213104707,0.3300696396010004,MLP Perdida Custom,0.2894736804557355,7
140,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
150,0.5579952545794649,0.6121691593194452,XGBoost Multisalida,0.585082206949455,1
150,0.4931572807579689,0.5284833745980096,RF Individual,0.5108203276779892,2
150,0.4713281920017264,0.5192636159493496,Random Forest con RegressorChain,0.49529590397553797,3
150,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
150,0.4074854157440896,0.4442984911435627,RandomForest Multisalida,0.42589195344382613,5
150,0.3319234973792078,0.4609311351874574,MLP Estandar,0.3964273162833326,6
150,0.2835173961173984,0.3501311038993132,MLP Perdida Custom,0.3168242500083558,7
150,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
160,0.5257914551744695,0.5953014862755784,XGBoost Multisalida,0.560546470725024,1
160,0.4833641993339252,0.5449311147357685,RF Individual,0.5141476570348469,2
160,0.4881460830166628,0.5331450793055299,Random Forest con RegressorChain,0.5106455811610964,3
160,0.4242595891444859,0.5176074138228257,MLP Estandar,0.4709335014836558,4
160,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
160,0.4004110645766904,0.4336691946346124,RandomForest Multisalida,0.4170401296056514,6
