Target,RandomForest Multisalida,XGBoost Multisalida,RF Individual,Random Forest con RegressorChain,XGBoost Individual,Regresión Individual,MLP Estandar,MLP Perdida Custom
GLOBAL,0.0964,0.0835,0.0811,0.0809,0.067,-0.0164,-0.0852,-0.0892
nematode_shannon_z,0.1545,0.2228,0.1366,0.1467,0.1637,0.0112,0.0829,0.0668
macro_shannon_z,0.2,0.3771,0.2797,0.2804,0.2601,0.1257,0.2396,0.2704
earthworm_shannon_z,0.416,0.5375,0.5059,0.4876,0.4946,0.2395,0.3538,0.377
orib_shannon_z,0.1693,0.2275,0.1644,0.2069,0.1147,0.1137,0.225,0.2552
meso_shannon_z,-0.1178,-0.2861,-0.1895,-0.164,-0.1868,-0.2499,-0.4925,-0.4289
coll_shannon_z,-0.1953,-0.3229,-0.4168,-0.6087,-0.3312,-0.4998,-1.2378,-1.2015
bac_shannon_z,0.029,-0.0151,0.0037,0.0288,0.0092,-0.0812,-0.0334,-0.1218
fun_shannon_z,-0.0127,-0.0502,-0.0337,-0.0219,-0.0206,-0.0161,-0.1246,-0.0672
euk_shannon_z,0.1378,0.0886,0.1575,0.1624,0.0912,0.0407,0.1451,0.1025
oomy_shannon_z,0.1252,0.062,0.0998,0.0913,0.0965,0.0857,0.1362,0.0429
cerc_shannon_z,-0.0041,-0.033,-0.0404,-0.0006,-0.0414,0.0155,-0.0855,-0.0613
macro_order_richness_z,0.2532,0.4013,0.3058,0.4069,0.3082,0.1521,0.3447,0.3581
earthworm_richness_z,0.4509,0.5893,0.5492,0.5359,0.5171,0.2789,0.4628,0.4854
orib_species_richness_z,0.2386,0.28,0.2407,0.2026,0.1259,0.0921,0.2783,0.2981
meso_species_richness_z,-0.0255,-0.1146,-0.0453,-0.04,-0.0592,-0.0959,-0.2681,-0.2198
coll_species_richness_z,-0.292,-0.6465,-0.5461,-0.5799,-0.5803,-0.7341,-2.0859,-1.9873
bac_asv_richness_z,0.0044,0.0155,0.0004,-0.0052,0.0014,-0.0761,-0.0799,-0.1811
fun_asv_richness_z,-0.0068,-0.0662,-0.0144,-0.0186,-0.0242,0.0087,0.0105,0.0069
euk_asv_richness_z,0.1903,0.2233,0.236,0.269,0.1671,0.04,0.247,0.197
oomy_asv_richness_z,0.1917,0.165,0.1895,0.2019,0.1776,0.1035,0.064,0.0188
cerc_asv_richness_z,0.1171,0.0983,0.1207,0.1171,0.1227,0.1019,0.0285,-0.0845
