GLOBAL_mas_RELEVANTES,nematode_shannon_z,macro_shannon_z,earthworm_shannon_z,orib_shannon_z,meso_shannon_z,coll_shannon_z,bac_shannon_z,fun_shannon_z,euk_shannon_z,oomy_shannon_z,cerc_shannon_z,macro_order_richness_z,earthworm_richness_z,orib_species_richness_z,meso_species_richness_z,coll_species_richness_z,bac_asv_richness_z,fun_asv_richness_z,euk_asv_richness_z,oomy_asv_richness_z,cerc_asv_richness_z
soil_ph_z,gee_temp_media_C_z,dem_elevacion_m_z,soil_ph_z,soil_ph_z,zn_z,clay_content_z,gee_temp_media_C_z,eu_clay_content_z,soil_ph_z,gee_temp_media_C_z,dem_elevacion_m_z,dem_elevacion_m_z,soil_ph_z,soil_ph_z,zn_z,zn_z,gee_temp_media_C_z,eu_as_z,soil_ph_z,gee_temp_media_C_z,dem_elevacion_m_z
gee_temp_media_C_z,silt_content_z,eu_as_z,eu_p_z,p_z,gee_ndvi_verano_z,zn_z,pb_z,eu_organic_carbon_octop_z,gee_humedad_rel_pct_z,soil_ph_z,gee_temp_media_C_z,eu_organic_carbon_octop_z,eu_p_z,eu_ph_z,gee_ndvi_verano_z,dem_elevacion_m_z,eu_organic_carbon_octop_z,soil_ph_z,gee_humedad_rel_pct_z,eu_ph_z,gee_temp_media_C_z
dem_elevacion_m_z,eu_cn_ratio_z,eu_organic_carbon_octop_z,silt_content_z,eu_p_z,dem_elevacion_m_z,gee_temp_media_C_z,soil_moisture_z,dem_orientacion_deg_z,eu_p_z,p_z,gee_ndvi_verano_z,eu_as_z,silt_content_z,gee_ndvi_verano_z,dem_elevacion_m_z,clay_content_z,eu_as_z,eu_cn_ratio_z,zn_z,dem_pendiente_deg_z,p_z
eu_p_z,soil_ph_z,eu_clay_content_z,aggregate_stability_z,eu_ph_z,eu_cn_ratio_z,dem_elevacion_m_z,eu_organic_carbon_octop_z,total_plant_cover_z,bulk_density_z,silt_content_z,plot_total_organic_c_z,eu_clay_content_z,gee_humedad_rel_pct_z,p_z,eu_cn_ratio_z,gee_temp_media_C_z,plot_total_n_z,clay_content_z,eu_silt_content_z,dem_orientacion_deg_z,eu_p_z
zn_z,gee_humedad_rel_pct_z,soil_moisture_z,zn_z,plot_total_n_z,pb_z,eu_zn_z,k_z,eu_water_holding_capacity_z,eu_ph_z,eu_ph_z,dem_orientacion_deg_z,eu_silt_content_z,clay_content_z,eu_p_z,pb_z,total_plant_cover_z,aggregate_stability_z,gee_temp_media_C_z,eu_ph_z,gee_humedad_rel_pct_z,total_plant_cover_z
gee_humedad_rel_pct_z,aggregate_stability_z,eu_cn_ratio_z,eu_clay_content_z,gee_ndvi_verano_z,eu_zn_z,bulk_density_z,aggregate_stability_z,zn_z,soil_moisture_z,eu_silt_content_z,gee_humedad_rel_pct_z,total_plant_cover_z,zn_z,mo_z,aggregate_stability_z,pb_z,pb_z,bulk_density_z,p_z,eu_clay_content_z,plot_total_organic_c_z
eu_ph_z,k_z,eu_silt_content_z,gee_humedad_rel_pct_z,mo_z,soil_moisture_z,pb_z,dem_elevacion_m_z,silt_content_z,gee_temp_media_C_z,gee_ndvi_verano_z,p_z,eu_water_holding_capacity_z,aggregate_stability_z,eu_as_z,eu_zn_z,bulk_density_z,clay_content_z,total_plant_cover_z,bulk_density_z,p_z,gee_humedad_rel_pct_z
clay_content_z,total_plant_cover_z,eu_water_holding_capacity_z,clay_content_z,eu_clay_content_z,dem_pendiente_deg_z,total_plant_cover_z,dem_pendiente_deg_z,clay_content_z,clay_content_z,dem_pendiente_deg_z,aggregate_stability_z,soil_moisture_z,eu_organic_carbon_octop_z,eu_clay_content_z,soil_moisture_z,eu_zn_z,eu_water_holding_capacity_z,eu_clay_content_z,eu_sand_content_z,soil_ph_z,plot_total_n_z
pb_z,eu_p_z,p_z,p_z,sand_content_z,eu_water_holding_capacity_z,eu_as_z,plot_total_n_z,p_z,total_plant_cover_z,bulk_density_z,eu_p_z,eu_cn_ratio_z,plot_total_organic_c_z,gee_temp_media_C_z,mo_z,eu_as_z,soil_moisture_z,eu_zn_z,eu_p_z,dem_elevacion_m_z,mo_z
soil_moisture_z,eu_zn_z,dem_pendiente_deg_z,soil_moisture_z,zn_z,bulk_density_z,eu_cn_ratio_z,eu_as_z,aggregate_stability_z,eu_silt_content_z,eu_sand_content_z,plot_total_n_z,dem_pendiente_deg_z,eu_clay_content_z,dem_elevacion_m_z,eu_water_holding_capacity_z,eu_cn_ratio_z,dem_pendiente_deg_z,k_z,k_z,soil_moisture_z,eu_ph_z
