GLOBAL_MENOS_RELEVANTES,nematode_shannon_z,macro_shannon_z,earthworm_shannon_z,orib_shannon_z,meso_shannon_z,coll_shannon_z,bac_shannon_z,fun_shannon_z,euk_shannon_z,oomy_shannon_z,cerc_shannon_z,macro_order_richness_z,earthworm_richness_z,orib_species_richness_z,meso_species_richness_z,coll_species_richness_z,bac_asv_richness_z,fun_asv_richness_z,euk_asv_richness_z,oomy_asv_richness_z,cerc_asv_richness_z
plot_total_organic_c_z,eu_sand_content_z,as_z,gee_ndvi_verano_z,eu_as_z,k_z,eu_water_holding_capacity_z,silt_content_z,eu_zn_z,p_z,clay_content_z,zn_z,clay_content_z,eu_silt_content_z,k_z,k_z,plot_total_organic_c_z,mo_z,gee_ndvi_verano_z,plot_total_organic_c_z,eu_organic_carbon_octop_z,sand_content_z
as_z,as_z,mo_z,dem_pendiente_deg_z,eu_zn_z,plot_total_n_z,plot_total_organic_c_z,plot_total_organic_c_z,sand_content_z,eu_clay_content_z,mo_z,silt_content_z,dem_orientacion_deg_z,eu_zn_z,bulk_density_z,ni_z,eu_water_holding_capacity_z,silt_content_z,p_z,eu_organic_carbon_octop_z,plot_total_organic_c_z,clay_content_z
ni_z,p_z,eu_ph_z,total_plant_cover_z,total_plant_cover_z,ni_z,aggregate_stability_z,gee_ndvi_verano_z,dem_pendiente_deg_z,eu_as_z,eu_as_z,total_plant_cover_z,sand_content_z,dem_orientacion_deg_z,soil_moisture_z,eu_sand_content_z,eu_organic_carbon_octop_z,dem_orientacion_deg_z,dem_elevacion_m_z,eu_water_holding_capacity_z,aggregate_stability_z,silt_content_z
eu_sand_content_z,mo_z,dem_orientacion_deg_z,gee_temp_media_C_z,eu_silt_content_z,silt_content_z,plot_total_n_z,ni_z,pb_z,gee_ndvi_verano_z,ni_z,pb_z,zn_z,as_z,eu_organic_carbon_octop_z,silt_content_z,p_z,as_z,gee_humedad_rel_pct_z,eu_clay_content_z,eu_water_holding_capacity_z,bulk_density_z
eu_water_holding_capacity_z,eu_organic_carbon_octop_z,clay_content_z,eu_silt_content_z,as_z,eu_sand_content_z,soil_moisture_z,eu_zn_z,gee_humedad_rel_pct_z,mo_z,eu_cn_ratio_z,sand_content_z,eu_sand_content_z,total_plant_cover_z,eu_silt_content_z,plot_total_n_z,dem_orientacion_deg_z,bulk_density_z,pb_z,aggregate_stability_z,eu_cn_ratio_z,zn_z
sand_content_z,gee_ndvi_verano_z,plot_total_organic_c_z,ni_z,gee_humedad_rel_pct_z,plot_total_organic_c_z,eu_organic_carbon_octop_z,eu_sand_content_z,as_z,plot_total_organic_c_z,eu_water_holding_capacity_z,eu_zn_z,plot_total_organic_c_z,gee_ndvi_verano_z,clay_content_z,eu_ph_z,soil_moisture_z,eu_zn_z,mo_z,ni_z,as_z,eu_clay_content_z
eu_zn_z,plot_total_organic_c_z,eu_sand_content_z,dem_elevacion_m_z,eu_water_holding_capacity_z,eu_ph_z,as_z,eu_p_z,plot_total_organic_c_z,silt_content_z,zn_z,eu_cn_ratio_z,as_z,p_z,zn_z,plot_total_organic_c_z,dem_pendiente_deg_z,ni_z,eu_organic_carbon_octop_z,clay_content_z,eu_silt_content_z,aggregate_stability_z
mo_z,ni_z,eu_zn_z,as_z,bulk_density_z,eu_as_z,p_z,sand_content_z,eu_ph_z,ni_z,eu_zn_z,eu_clay_content_z,eu_zn_z,dem_pendiente_deg_z,eu_cn_ratio_z,gee_humedad_rel_pct_z,plot_total_n_z,eu_sand_content_z,eu_silt_content_z,eu_as_z,plot_total_n_z,dem_orientacion_deg_z
dem_orientacion_deg_z,eu_clay_content_z,aggregate_stability_z,plot_total_n_z,eu_cn_ratio_z,gee_humedad_rel_pct_z,dem_pendiente_deg_z,dem_orientacion_deg_z,bulk_density_z,pb_z,eu_p_z,clay_content_z,silt_content_z,eu_water_holding_capacity_z,plot_total_organic_c_z,sand_content_z,aggregate_stability_z,plot_total_organic_c_z,soil_moisture_z,eu_cn_ratio_z,gee_ndvi_verano_z,eu_zn_z
plot_total_n_z,dem_pendiente_deg_z,zn_z,eu_water_holding_capacity_z,ni_z,eu_p_z,eu_ph_z,p_z,eu_sand_content_z,as_z,dem_elevacion_m_z,bulk_density_z,bulk_density_z,dem_elevacion_m_z,dem_pendiente_deg_z,total_plant_cover_z,as_z,eu_ph_z,silt_content_z,as_z,eu_p_z,eu_cn_ratio_z
