variable,XGBoost gain,Permutacion (R2)
total_plant_cover_z,0.028364755,0.009845870733261108
aggregate_stability_z,0.02462487,0.014745742082595825
eu_zn_z,0.030492892,0.014831137657165528
eu_sand_content_z,0.039978903,0.016360223293304443
eu_organic_carbon_octop_z,0.028902385,0.017830795049667357
clay_content_z,0.031919684,0.01800033450126648
eu_water_holding_capacity_z,0.032233715,0.01982110142707825
eu_clay_content_z,0.035222076,0.020056778192520143
eu_silt_content_z,0.03508461,0.020728862285614012
eu_cn_ratio_z,0.0374773,0.022981864213943482
