variable,XGBoost gain,Permutacion (R2)
total_plant_cover_z,0.027158871,0.00919986367225647
aggregate_stability_z,0.021405766,0.013059556484222412
eu_zn_z,0.02890399,0.013796287775039672
ni_z,0.023345454,0.014597052335739135
cu_z,0.021454543,0.015636748075485228
eu_organic_carbon_octop_z,0.027023109,0.01599358320236206
eu_sand_content_z,0.035692118,0.016154766082763672
clay_content_z,0.028821932,0.01857023239135742
eu_water_holding_capacity_z,0.029946152,0.01865437626838684
eu_silt_content_z,0.03323702,0.019419175386428834
